blob1	(1, 3, 384, 128)
conv1	(1, 64, 192, 64)
batch_norm1	(1, 64, 192, 64)
relu1	(1, 64, 192, 64)
max_pool1	(1, 64, 96, 32)
max_pool1_max_pool1_0_split_0	(1, 64, 96, 32)
max_pool1_max_pool1_0_split_1	(1, 64, 96, 32)
conv2	(1, 64, 96, 32)
batch_norm2	(1, 64, 96, 32)
relu2	(1, 64, 96, 32)
conv3	(1, 64, 96, 32)
batch_norm3	(1, 64, 96, 32)
relu3	(1, 64, 96, 32)
conv4	(1, 256, 96, 32)
batch_norm4	(1, 256, 96, 32)
conv5	(1, 256, 96, 32)
batch_norm5	(1, 256, 96, 32)
add1	(1, 256, 96, 32)
relu4	(1, 256, 96, 32)
relu4_relu4_0_split_0	(1, 256, 96, 32)
relu4_relu4_0_split_1	(1, 256, 96, 32)
conv6	(1, 64, 96, 32)
batch_norm6	(1, 64, 96, 32)
relu5	(1, 64, 96, 32)
conv7	(1, 64, 96, 32)
batch_norm7	(1, 64, 96, 32)
relu6	(1, 64, 96, 32)
conv8	(1, 256, 96, 32)
batch_norm8	(1, 256, 96, 32)
add2	(1, 256, 96, 32)
relu7	(1, 256, 96, 32)
relu7_relu7_0_split_0	(1, 256, 96, 32)
relu7_relu7_0_split_1	(1, 256, 96, 32)
conv9	(1, 64, 96, 32)
batch_norm9	(1, 64, 96, 32)
relu8	(1, 64, 96, 32)
conv10	(1, 64, 96, 32)
batch_norm10	(1, 64, 96, 32)
relu9	(1, 64, 96, 32)
conv11	(1, 256, 96, 32)
batch_norm11	(1, 256, 96, 32)
add3	(1, 256, 96, 32)
relu10	(1, 256, 96, 32)
relu10_relu10_0_split_0	(1, 256, 96, 32)
relu10_relu10_0_split_1	(1, 256, 96, 32)
conv12	(1, 128, 96, 32)
batch_norm12	(1, 128, 96, 32)
relu11	(1, 128, 96, 32)
conv13	(1, 128, 48, 16)
batch_norm13	(1, 128, 48, 16)
relu12	(1, 128, 48, 16)
conv14	(1, 512, 48, 16)
batch_norm14	(1, 512, 48, 16)
conv15	(1, 512, 48, 16)
batch_norm15	(1, 512, 48, 16)
add4	(1, 512, 48, 16)
relu13	(1, 512, 48, 16)
relu13_relu13_0_split_0	(1, 512, 48, 16)
relu13_relu13_0_split_1	(1, 512, 48, 16)
conv16	(1, 128, 48, 16)
batch_norm16	(1, 128, 48, 16)
relu14	(1, 128, 48, 16)
conv17	(1, 128, 48, 16)
batch_norm17	(1, 128, 48, 16)
relu15	(1, 128, 48, 16)
conv18	(1, 512, 48, 16)
batch_norm18	(1, 512, 48, 16)
add5	(1, 512, 48, 16)
relu16	(1, 512, 48, 16)
relu16_relu16_0_split_0	(1, 512, 48, 16)
relu16_relu16_0_split_1	(1, 512, 48, 16)
conv19	(1, 128, 48, 16)
batch_norm19	(1, 128, 48, 16)
relu17	(1, 128, 48, 16)
conv20	(1, 128, 48, 16)
batch_norm20	(1, 128, 48, 16)
relu18	(1, 128, 48, 16)
conv21	(1, 512, 48, 16)
batch_norm21	(1, 512, 48, 16)
add6	(1, 512, 48, 16)
relu19	(1, 512, 48, 16)
relu19_relu19_0_split_0	(1, 512, 48, 16)
relu19_relu19_0_split_1	(1, 512, 48, 16)
conv22	(1, 128, 48, 16)
batch_norm22	(1, 128, 48, 16)
relu20	(1, 128, 48, 16)
conv23	(1, 128, 48, 16)
batch_norm23	(1, 128, 48, 16)
relu21	(1, 128, 48, 16)
conv24	(1, 512, 48, 16)
batch_norm24	(1, 512, 48, 16)
add7	(1, 512, 48, 16)
relu22	(1, 512, 48, 16)
relu22_relu22_0_split_0	(1, 512, 48, 16)
relu22_relu22_0_split_1	(1, 512, 48, 16)
conv25	(1, 256, 48, 16)
batch_norm25	(1, 256, 48, 16)
relu23	(1, 256, 48, 16)
conv26	(1, 256, 24, 8)
batch_norm26	(1, 256, 24, 8)
relu24	(1, 256, 24, 8)
conv27	(1, 1024, 24, 8)
batch_norm27	(1, 1024, 24, 8)
conv28	(1, 1024, 24, 8)
batch_norm28	(1, 1024, 24, 8)
add8	(1, 1024, 24, 8)
relu25	(1, 1024, 24, 8)
relu25_relu25_0_split_0	(1, 1024, 24, 8)
relu25_relu25_0_split_1	(1, 1024, 24, 8)
relu25_relu25_0_split_2	(1, 1024, 24, 8)
relu25_relu25_0_split_3	(1, 1024, 24, 8)
relu25_relu25_0_split_4	(1, 1024, 24, 8)
relu25_relu25_0_split_5	(1, 1024, 24, 8)
conv29	(1, 256, 24, 8)
batch_norm29	(1, 256, 24, 8)
relu26	(1, 256, 24, 8)
conv30	(1, 256, 24, 8)
batch_norm30	(1, 256, 24, 8)
relu27	(1, 256, 24, 8)
conv31	(1, 1024, 24, 8)
batch_norm31	(1, 1024, 24, 8)
add9	(1, 1024, 24, 8)
relu28	(1, 1024, 24, 8)
relu28_relu28_0_split_0	(1, 1024, 24, 8)
relu28_relu28_0_split_1	(1, 1024, 24, 8)
conv32	(1, 256, 24, 8)
batch_norm32	(1, 256, 24, 8)
relu29	(1, 256, 24, 8)
conv33	(1, 256, 24, 8)
batch_norm33	(1, 256, 24, 8)
relu30	(1, 256, 24, 8)
conv34	(1, 1024, 24, 8)
batch_norm34	(1, 1024, 24, 8)
add10	(1, 1024, 24, 8)
relu31	(1, 1024, 24, 8)
relu31_relu31_0_split_0	(1, 1024, 24, 8)
relu31_relu31_0_split_1	(1, 1024, 24, 8)
conv35	(1, 256, 24, 8)
batch_norm35	(1, 256, 24, 8)
relu32	(1, 256, 24, 8)
conv36	(1, 256, 24, 8)
batch_norm36	(1, 256, 24, 8)
relu33	(1, 256, 24, 8)
conv37	(1, 1024, 24, 8)
batch_norm37	(1, 1024, 24, 8)
add11	(1, 1024, 24, 8)
relu34	(1, 1024, 24, 8)
relu34_relu34_0_split_0	(1, 1024, 24, 8)
relu34_relu34_0_split_1	(1, 1024, 24, 8)
conv38	(1, 256, 24, 8)
batch_norm38	(1, 256, 24, 8)
relu35	(1, 256, 24, 8)
conv39	(1, 256, 24, 8)
batch_norm39	(1, 256, 24, 8)
relu36	(1, 256, 24, 8)
conv40	(1, 1024, 24, 8)
batch_norm40	(1, 1024, 24, 8)
add12	(1, 1024, 24, 8)
relu37	(1, 1024, 24, 8)
relu37_relu37_0_split_0	(1, 1024, 24, 8)
relu37_relu37_0_split_1	(1, 1024, 24, 8)
conv41	(1, 256, 24, 8)
batch_norm41	(1, 256, 24, 8)
relu38	(1, 256, 24, 8)
conv42	(1, 256, 24, 8)
batch_norm42	(1, 256, 24, 8)
relu39	(1, 256, 24, 8)
conv43	(1, 1024, 24, 8)
batch_norm43	(1, 1024, 24, 8)
add13	(1, 1024, 24, 8)
relu40	(1, 1024, 24, 8)
relu40_relu40_0_split_0	(1, 1024, 24, 8)
relu40_relu40_0_split_1	(1, 1024, 24, 8)
conv44	(1, 512, 24, 8)
batch_norm44	(1, 512, 24, 8)
relu41	(1, 512, 24, 8)
conv45	(1, 512, 12, 4)
batch_norm45	(1, 512, 12, 4)
relu42	(1, 512, 12, 4)
conv46	(1, 2048, 12, 4)
batch_norm46	(1, 2048, 12, 4)
conv47	(1, 2048, 12, 4)
batch_norm47	(1, 2048, 12, 4)
add14	(1, 2048, 12, 4)
relu43	(1, 2048, 12, 4)
relu43_relu43_0_split_0	(1, 2048, 12, 4)
